video_url,fingerprint,performance,status
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-935168780798574,5a0d99f8d4f355988314043031d4f3cc,2.0666,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-933913194646448,8ce17d68c33f22c2dc0802457086914c,1.2673,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-933773150951550,8ce17d68c33f22c2dc0802457086914c,0.7001,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-932703258597949,ff60c55fb32cf68652aae2d67bc37141,0.5158,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-932296771464171,34761e6fbf9343a5c6d245832af33b52,2.2497,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-932085787962122,5a0d99f8d4f355988314043031d4f3cc,2.2362,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-932038864470963,5a0d99f8d4f355988314043031d4f3cc,2.0555,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-930116227971248,8ce17d68c33f22c2dc0802457086914c,2.2847,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-929830031529018,5a0d99f8d4f355988314043031d4f3cc,1.8266,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-929511878466995,ccda2bfb9a9e66ed0e332cb2dab7bca7,0.9358,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-929300948587514,bc15ec148cf260426334328949b359ef,1.3256,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-925596815118953,5a0d99f8d4f355988314043031d4f3cc,0.3247,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-925260332281638,16df5c39874ec36e8d8e30b53004bf72,0.4572,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-924865635226814,3fca944ed7695fdb48ec9fccd3338b93,1.9042,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-924585008982148,5a0d99f8d4f355988314043031d4f3cc,1.8667,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-621652523105267,34761e6fbf9343a5c6d245832af33b52,1.7492,Processed
